epi_week_year,start,end,actual,ang mo kio,bedok,bishan,boon lay,bukit batok,bukit merah,bukit panjang,bukit timah,changi,choa chu kang,city,clementi,geylang,hougang,jurong east,jurong island,jurong west,kallang,lim chu kang,mandai,marine parade,novena,pasir ris,paya lebar,punggol,queenstown,seletar,sembawang,sengkang,sentosa,serangoon,sungei kadut,tampines,tanglin,tengah,toa payoh,tuas,woodlands,yishun
2013-W21,19/5/2013,25/5/2013,23/5/2013,0,63,5,4,3,0,0,21,4,41,0,0,32,20,0,0,42,23,0,0,0,2,14,0,0,4,0,0,6,0,10,0,203,0,0,15,0,3,81
2013-W22,26/5/2013,1/6/2013,27/5/2013,0,63,8,4,3,2,0,23,4,42,0,0,32,21,0,0,44,30,0,0,0,2,19,0,0,4,0,0,6,0,9,0,193,2,0,16,0,4,81
2013-W23,2/6/2013,8/6/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-W24,9/6/2013,15/6/2013,11/6/2013,23,30,0,4,6,0,11,25,16,109,0,0,43,59,0,0,105,46,0,0,10,3,88,0,5,11,0,0,0,0,8,0,297,1,0,9,0,4,126
2013-W25,16/6/2013,22/6/2013,17/6/2013,11,28,7,4,4,8,16,3,0,134,4,0,8,60,0,0,124,44,0,0,22,3,110,0,0,16,0,0,0,0,17,0,325,5,0,7,0,0,145
2013-W26,23/6/2013,29/6/2013,24/6/2013,9,30,0,13,2,15,21,3,0,169,4,0,10,47,6,0,145,44,0,0,14,3,128,2,0,25,0,0,0,0,15,0,374,10,0,20,0,18,156
2013-W27,30/6/2013,6/7/2013,4/7/2013,0,50,0,11,3,33,23,6,5,203,6,5,70,29,7,0,117,68,0,0,37,20,110,2,0,12,0,0,0,0,25,0,415,9,0,6,0,0,218
2013-W28,7/7/2013,13/7/2013,8/7/2013,0,57,0,12,3,37,31,0,5,207,0,5,93,31,6,0,122,52,0,0,32,16,143,2,0,15,0,0,0,0,41,0,434,6,0,6,0,13,232
2013-W29,14/7/2013,20/7/2013,18/7/2013,0,65,4,1,0,13,45,2,3,124,0,0,65,56,0,0,162,58,0,0,29,7,125,0,0,0,0,0,0,0,70,0,441,3,0,23,0,5,229
2013-W30,21/7/2013,27/7/2013,26/7/2013,0,59,2,0,0,0,53,1,3,98,1,0,31,24,0,0,82,23,0,0,24,5,155,3,0,0,0,3,2,0,67,0,421,0,0,20,0,0,112
2013-W31,28/7/2013,3/8/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-W32,4/8/2013,10/8/2013,7/8/2013,2,13,0,0,0,0,30,1,1,93,3,0,16,39,0,0,91,33,0,1,17,3,21,7,3,0,0,1,2,0,37,0,14,0,0,24,0,0,70
2013-W33,11/8/2013,17/8/2013,13/8/2013,4,15,0,0,0,0,42,0,3,3,3,0,20,34,0,0,92,24,0,1,16,0,1,8,3,0,0,1,2,0,38,0,16,0,0,4,0,0,69
2013-W34,18/8/2013,24/8/2013,21/8/2013,0,18,2,0,2,2,50,0,0,2,0,0,30,28,6,0,91,9,0,3,21,2,22,9,8,0,0,2,10,0,29,0,37,2,0,2,0,0,57
2013-W35,25/8/2013,31/8/2013,30/8/2013,3,20,6,0,0,3,48,0,0,11,0,0,4,36,4,0,11,25,0,0,3,2,12,10,13,0,0,0,17,0,29,0,56,3,0,9,0,0,9
2013-W36,1/9/2013,7/9/2013,6/9/2013,6,41,11,0,0,0,2,0,1,5,0,0,24,5,0,0,23,43,0,1,7,2,4,0,33,2,0,2,31,0,36,0,72,5,0,23,0,7,14
2013-W37,8/9/2013,14/9/2013,13/9/2013,12,22,19,0,0,2,0,0,0,8,1,0,30,13,11,0,25,60,0,1,13,8,15,0,35,0,0,2,38,0,45,0,80,0,0,33,0,13,13
2013-W38,15/9/2013,21/9/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-W39,22/9/2013,28/9/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-W40,29/9/2013,5/10/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-W41,6/10/2013,12/10/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-W42,13/10/2013,19/10/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-W43,20/10/2013,26/10/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-W44,27/10/2013,2/11/2013,30/10/2013,9,176,48,0,3,3,4,0,0,9,2,5,22,47,79,0,8,10,0,1,4,3,12,0,0,0,2,3,0,0,6,0,111,82,0,88,0,13,30
2013-W45,3/11/2013,9/11/2013,4/11/2013,5,181,52,0,5,3,4,3,0,11,5,6,23,48,0,0,7,20,0,0,0,6,13,0,0,2,2,3,0,1,5,0,115,99,0,23,0,14,16
2013-W46,10/11/2013,16/11/2013,11/11/2013,5,175,56,0,0,0,0,6,2,8,10,4,6,48,2,0,2,17,3,0,3,6,21,1,0,0,2,3,2,1,2,0,0,134,0,31,0,2,26
2013-W47,17/11/2013,23/11/2013,18/11/2013,2,172,62,0,8,4,0,8,0,6,12,2,20,60,7,0,2,6,0,2,6,15,14,1,6,2,4,0,2,1,3,0,5,151,0,24,4,7,27
2013-W48,24/11/2013,30/11/2013,25/11/2013,3,161,66,0,13,0,2,6,3,6,4,0,37,68,2,0,11,7,0,0,4,25,11,0,0,3,0,3,2,0,1,0,13,152,0,34,0,8,23
2013-W49,1/12/2013,7/12/2013,2/12/2013,12,22,68,2,2,2,0,7,1,0,2,0,55,73,5,0,0,8,0,0,6,21,13,0,2,7,1,2,0,0,7,0,15,128,0,40,0,9,34
2013-W50,8/12/2013,14/12/2013,9/12/2013,17,5,2,0,3,3,2,6,0,9,3,0,79,9,2,0,2,15,0,0,0,19,16,2,0,0,0,4,0,0,24,0,4,20,0,30,0,0,38
2013-W51,15/12/2013,21/12/2013,16/12/2013,17,11,0,0,4,5,0,11,0,10,0,0,82,0,0,0,17,10,0,0,2,26,2,0,0,9,0,7,0,0,27,0,2,3,0,36,0,10,37
2013-W52,22/12/2013,28/12/2013,24/12/2013,2,15,5,0,11,0,0,1,0,7,0,0,69,16,3,0,27,12,0,0,1,36,0,0,0,0,5,5,2,0,38,0,0,0,0,11,0,7,43
2014-W01,29/12/2013,4/1/2014,31/12/2013,5,29,10,0,3,2,0,3,0,7,0,0,59,2,4,0,42,16,0,0,3,50,7,0,0,4,7,3,2,0,40,5,4,0,0,24,0,4,53
2014-W02,5/1/2014,11/1/2014,6/1/2014,0,32,8,0,3,2,2,3,1,4,0,0,66,9,2,0,46,22,0,0,3,62,12,0,0,0,10,3,0,0,43,3,7,0,0,33,0,3,60
2014-W03,12/1/2014,18/1/2014,17/1/2014,4,10,16,0,14,3,4,15,0,11,0,0,113,26,0,0,84,32,0,0,9,20,0,0,2,4,0,5,0,0,65,0,8,0,0,26,0,31,59
2014-W04,19/1/2014,25/1/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-W05,26/1/2014,1/2/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-W06,2/2/2014,8/2/2014,4/2/2014,5,25,2,0,2,5,0,19,1,6,2,2,26,20,0,0,4,9,0,0,9,6,2,0,0,2,0,2,0,0,11,0,11,4,0,0,0,52,8
2014-W07,9/2/2014,15/2/2014,14/2/2014,5,15,2,0,11,7,0,9,0,0,0,6,12,32,0,0,19,9,0,0,16,4,0,0,0,3,0,0,12,0,14,0,0,1,0,14,0,60,0
2014-W08,16/2/2014,22/2/2014,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
